customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,AvgChargesPerMonth,tenure_group,HighMonthlyCharges,LongTenure,HighCharge_LongTenure,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_Payment_Month-to-month_Credit card (automatic),Contract_Payment_Month-to-month_Electronic check,Contract_Payment_Month-to-month_Mailed check,Contract_Payment_One year_Bank transfer (automatic),Contract_Payment_One year_Credit card (automatic),Contract_Payment_One year_Electronic check,Contract_Payment_One year_Mailed check,Contract_Payment_Two year_Bank transfer (automatic),Contract_Payment_Two year_Credit card (automatic),Contract_Payment_Two year_Electronic check,Contract_Payment_Two year_Mailed check
7590-VHVEG,-0.440327089412664,-1.2802480369298874,-1.1616939352451685,-0.9941940877241977,0,-1.1578889425733963,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
5575-GNVDE,-0.440327089412664,0.06430268518835193,-0.2608779199297493,-0.17373981825040724,0,-0.30565771102922806,25-48,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3668-QPYBK,-0.440327089412664,-1.2395040756535771,-0.3639232943754246,-0.9596491092068434,1,-0.35530461389588164,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
7795-CFOCW,-0.440327089412664,0.512486259227765,-0.747850415293989,-0.19524770717404732,0,-0.7916137874149846,25-48,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9237-HQITU,-0.440327089412664,-1.2395040756535771,0.19617817640187488,-0.94045745447498,1,0.3652819350715464,0-12,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
9305-CDSKC,-0.440327089412664,-0.9950403079957154,1.1584890119510036,-0.6453692184426381,1,1.2511064340608156,0-12,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
1452-KIOVK,-0.440327089412664,-0.42462485012737144,0.8078023344020117,-0.14731268909089865,0,0.7888241856401756,13-24,1.000853606642837,-0.6834760994738991,-0.4945723100937865,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
6713-OKOMC,-0.440327089412664,-0.9135523854430948,-1.1650179795821258,-0.8741690378436584,0,-1.1466246011182735,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
7892-POOKP,-0.440327089412664,-0.18016108246950976,1.3296772953043026,0.33651554451135574,1,1.4573432739377004,25-48,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
6388-TABGU,-0.440327089412664,1.2051336009250397,-0.28747027462540753,0.5314762853391823,0,-0.28300549630204186,61-72,-0.9991471213800188,1.4631089525584626,-0.4945723100937865,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
